time,kapasite_faktoru
5285,0
5286,0
5287,0
5288,0
5289,0
5290,0
5291,0
5292,0.013178294
5293,0.125581394
5294,0.379069765
5295,0.601550383
5296,0.771317824
5297,0.853488366
5298,0.775193793
5299,0.913953482
5300,0.805426351
5301,0.741085266
5302,0.641085267
5303,0.495348834
5304,0.285271316
5305,0.062790697
5306,0.000775194
5307,0
5308,0
5309,0
5310,0
5311,0
5312,0
5313,0
5314,0
5315,0
5316,0.010077519
5317,0.13488372
5318,0.348837207
5319,0.628682166
5320,0.753488367
5321,0.858139529
5322,0.954263566
5323,0.935658908
5324,0.930232551
5325,0.817054258
5326,0.717054258
5327,0.503100771
5328,0.256589145
5329,0.053488372
5330,0.002040816
5331,0
5332,0
5333,0
5334,0
5335,0
5336,0
5337,0
5338,0
5339,0
5340,0.00620155
5341,0.10620155
5342,0.337984494
5343,0.555038756
5344,0.70930232
5345,0.83798449
5346,0.920155039
5347,0.890697668
5348,0.837209296
5349,0.835658909
5350,0.538759686
5351,0.49457364
5352,0.246511626
5353,0.062015503
5354,0.003875969
5355,0
5356,0
5357,0
5358,0
5359,0
5360,0
5361,0
5362,0
5363,0
5364,0.008527132
5365,0.109302325
5366,0.344186044
5367,0.581395345
5368,0.765891467
5369,0.83178294
5370,0.885271311
5371,0.874418598
5372,0.782945731
5373,0.761240304
5374,0.510852709
5375,0.377519377
5376,0.077519379
5377,0.015503876
5378,0.001550388
5379,0
5380,0
5381,0
5382,0
5383,0
5384,0
5385,0
5386,0
5387,0
5388,0.018604651
5389,0.115503875
5390,0.282945734
5391,0.567441856
5392,0.720930227
5393,0.85426356
5394,0.906201544
5395,0.804651157
5396,0.678294569
5397,0.568992244
5398,0.64186046
5399,0.481395345
5400,0.273643409
5401,0.065116279
5402,0.002325581
5403,0
5404,0
5405,0
5406,0
5407,0
5408,0
5409,0
5410,0
5411,0
5412,0.017829457
5413,0.104651162
5414,0.326356587
5415,0.594573639
5416,0.717054258
5417,0.857364335
5418,0.858139529
5419,0.786046506
5420,0.733333328
5421,0.798449607
5422,0.626356585
5423,0.451162787
5424,0.206976743
5425,0.056589147
5426,0.002325581
5427,0
5428,0
5429,0
5430,0
5431,0
5432,0
5433,0
5434,0
5435,0
5436,0.01627907
5437,0.116279069
5438,0.34341085
5439,0.586821701
5440,0.748837204
5441,0.879844955
5442,0.9116279
